<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
QEC,20180503,5.66,5.98,5.625,5.735,3671759
QEC,20180502,5.65,5.73,5.65,5.66,1208633
QEC,20180430,5.74,5.74,5.585,5.64,2662887
QEC,20180427,5.78,5.80,5.705,5.76,1139212
QEC,20180426,5.71,5.815,5.585,5.80,2001634
QEC,20180425,5.75,5.775,5.65,5.69,1739831
QEC,20180424,5.70,5.865,5.60,5.86,3199785
QEC,20180423,5.70,5.715,5.58,5.675,2572557
QEC,20180420,5.83,5.93,5.70,5.765,2268267
QEC,20180419,5.98,6.09,5.74,5.78,4032380
QEC,20180418,5.95,6.22,5.87,5.97,8332469
QEC,20180417,5.95,6.09,5.91,5.97,2116764
QEC,20180416,5.88,6.04,5.82,5.985,5205800
QEC,20180413,5.63,6.045,5.48,5.90,5776077
QEC,20180412,5.42,5.62,5.41,5.58,2646501
QEC,20180411,5.70,5.80,5.30,5.52,6887805
QEC,20180410,5.68,5.75,5.47,5.70,3429132
QEC,20180409,5.59,5.63,5.46,5.53,3495533
QEC,20180406,5.86,5.92,5.58,5.70,3904079
QEC,20180405,5.63,6.085,5.49,5.725,7844495
QEC,20180404,5.94,5.94,5.14,5.49,9226182
QEC,20180403,6.48,6.60,5.75,5.785,18548158
QEC,20180328,6.565,6.70,6.565,6.685,1387678
QEC,20180327,6.45,6.71,6.33,6.67,5499031
QEC,20180326,6.495,6.69,6.41,6.45,5260206
QEC,20180323,6.90,7.015,6.705,6.835,7154758
QEC,20180322,6.985,7.275,6.93,7.015,11427240
QEC,20180321,6.70,7.00,6.54,6.94,4612965
QEC,20180320,6.825,6.875,6.355,6.635,5417684
QEC,20180319,6.94,6.94,6.81,6.825,3241639
QEC,20180316,6.80,6.98,6.755,6.805,2983645
QEC,20180315,7.07,7.07,6.725,6.795,4276332
QEC,20180314,6.78,7.26,6.515,6.98,10144175
QEC,20180313,6.835,6.935,6.60,6.67,5812075
QEC,20180312,6.67,6.99,6.60,6.89,9425064
QEC,20180309,6.30,6.45,6.225,6.39,4657528
QEC,20180308,6.155,6.35,6.06,6.235,5285598
QEC,20180307,5.90,6.30,5.83,5.975,5024196
QEC,20180306,5.41,5.93,5.41,5.93,6563706
QEC,20180305,5.30,5.42,5.23,5.35,1678100
QEC,20180302,5.30,5.33,5.165,5.195,1802845
QEC,20180301,5.38,5.405,5.28,5.335,1644775
QEC,20180228,5.46,5.46,5.36,5.405,967713
QEC,20180227,5.39,5.465,5.33,5.435,1524403
QEC,20180226,5.65,5.65,5.35,5.37,2376572
QEC,20180223,5.65,5.70,5.575,5.60,1540824
QEC,20180222,5.40,5.65,5.36,5.65,1985927
QEC,20180221,5.48,5.50,5.38,5.455,1293722
QEC,20180220,5.53,5.62,5.40,5.48,1539841
QEC,20180219,5.695,5.715,5.555,5.62,1125568
QEC,20180216,5.64,5.68,5.57,5.625,1295230
QEC,20180215,5.60,5.685,5.50,5.61,1999580
QEC,20180214,5.785,5.94,5.35,5.46,5945689
QEC,20180213,5.41,5.78,5.37,5.65,5774872
QEC,20180212,5.28,5.38,5.185,5.33,1899958
QEC,20180209,5.15,5.33,5.12,5.17,2969775
QEC,20180208,5.48,5.60,5.355,5.45,3411450
QEC,20180207,5.50,5.60,5.24,5.50,4139845
QEC,20180206,5.15,5.43,5.00,5.295,6906728
QEC,20180205,5.73,5.73,5.505,5.58,3930210
QEC,20180202,5.945,6.03,5.83,5.85,1571669
QEC,20180201,5.97,6.01,5.815,5.945,1581938
QEC,20180131,5.79,6.03,5.77,5.915,2774951
QEC,20180130,6.06,6.30,5.69,5.81,5708126
QEC,20180129,6.19,6.25,6.04,6.05,1727315
QEC,20180126,6.28,6.32,6.18,6.19,2471900
QEC,20180125,6.31,6.48,6.08,6.38,4493221
QEC,20180124,6.50,6.50,5.95,6.35,3636243
QEC,20180123,6.55,6.595,6.345,6.41,2221801
QEC,20180122,6.54,6.64,6.475,6.535,1741363
QEC,20180119,6.52,6.60,6.42,6.52,2706527
QEC,20180118,6.585,6.62,6.405,6.53,2741306
QEC,20180117,6.46,6.595,6.35,6.52,3436213
QEC,20180116,6.785,6.785,6.50,6.51,5224051
QEC,20180115,6.49,6.85,6.415,6.69,7720812
QEC,20180112,6.095,6.43,6.00,6.375,6223797
QEC,20180111,6.27,6.27,6.00,6.105,2451438
QEC,20180110,6.24,6.34,6.19,6.215,2634430
QEC,20180109,6.18,6.38,6.16,6.24,4970869
QEC,20180108,6.12,6.33,6.12,6.20,2968832
QEC,20180105,6.15,6.15,6.08,6.12,3982947
QEC,20180104,6.235,6.29,6.135,6.14,3029620
QEC,20180103,6.05,6.35,6.05,6.16,5024528
QEC,20180102,6.03,6.125,6.00,6.095,1636221
QEC,20171229,6.04,6.115,5.95,5.98,2388268
QEC,20171228,6.02,6.12,6.00,6.04,1614787
QEC,20171227,6.06,6.25,6.02,6.07,3379428
QEC,20171222,6.15,6.27,5.89,6.055,5116380
QEC,20171221,5.74,6.18,5.73,6.12,10747273
QEC,20171220,5.78,5.82,5.68,5.74,1774645
QEC,20171219,5.90,5.96,5.66,5.75,4049889
QEC,20171218,5.63,5.89,5.62,5.89,4415248
QEC,20171215,5.41,5.59,5.40,5.57,1862358
QEC,20171214,5.51,5.53,5.38,5.46,1402991
QEC,20171213,5.46,5.59,5.39,5.53,2353125
QEC,20171212,5.39,5.59,5.35,5.44,4945299
QEC,20171211,5.25,5.32,5.12,5.27,2259294
QEC,20171208,5.43,5.43,5.28,5.33,2166780
QEC,20171207,4.97,5.48,4.97,5.33,5708960
QEC,20171206,5.05,5.14,4.96,5.02,1302466
QEC,20171205,5.14,5.22,5.08,5.15,841647
QEC,20171204,5.26,5.30,5.10,5.14,1128310
QEC,20171201,5.25,5.36,5.12,5.20,2879913
