<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SPU,20180504,51.6,52.4,50.2,50.2,113443
SPU,20180503,51.6,52.4,50.2,50.2,113443
SPU,20180502,48.8,52.0,48.8,51.4,315378
SPU,20180430,49.0,49.8,48.6,49.6,139170
SPU,20180427,49.7,51.2,48.6,48.6,197494
SPU,20180426,47.5,50.0,47.3,49.9,704151
SPU,20180425,47.6,47.9,46.5,47.5,90616
SPU,20180424,48.3,48.5,47.3,47.5,99217
SPU,20180423,45.7,48.2,45.7,48.0,182753
SPU,20180420,47.4,48.0,46.5,46.6,171273
SPU,20180419,48.0,48.7,47.6,47.8,751252
SPU,20180418,47.4,48.6,46.8,48.0,631283
SPU,20180417,45.8,48.0,45.3,46.8,486320
SPU,20180416,45.9,46.0,44.7,45.1,58126
SPU,20180413,44.8,46.4,44.8,45.6,466743
SPU,20180412,43.0,45.0,42.3,44.8,593726
SPU,20180411,43.0,44.8,42.5,42.7,202247
SPU,20180410,43.2,44.4,43.2,44.1,219982
SPU,20180409,44.0,44.2,42.5,43.1,47382
SPU,20180406,44.2,44.2,43.0,43.9,45357
SPU,20180405,41.0,43.4,40.9,42.9,264096
SPU,20180404,43.0,43.1,39.0,42.0,94548
SPU,20180403,43.9,43.9,42.8,43.2,35018
SPU,20180328,43.3,44.0,41.9,44.0,47096
SPU,20180327,43.9,43.9,42.8,43.3,29383
SPU,20180326,42.9,43.2,42.4,43.0,41588
SPU,20180323,43.4,43.4,41.7,42.9,131944
SPU,20180322,45.0,45.5,43.3,43.4,79024
SPU,20180321,45.0,45.0,44.0,44.2,23884
SPU,20180320,44.0,45.0,43.5,45.0,65984
SPU,20180319,43.9,44.2,43.1,43.5,147227
SPU,20180316,44.7,45.2,43.3,43.9,81587
SPU,20180315,47.0,47.0,44.6,44.6,109872
SPU,20180314,46.5,47.2,46.5,46.9,59188
SPU,20180313,46.6,48.5,46.0,47.2,113076
SPU,20180312,45.5,47.0,45.1,46.8,145560
SPU,20180309,44.5,45.8,44.2,45.6,99006
SPU,20180308,45.1,45.1,44.4,44.5,187610
SPU,20180307,45.1,45.2,44.4,44.9,53436
SPU,20180306,44.5,45.4,44.5,44.7,109514
SPU,20180305,44.2,44.7,43.9,44.5,23741
SPU,20180302,45.0,45.4,43.3,44.1,96987
SPU,20180301,45.7,45.7,45.0,45.0,80246
SPU,20180228,46.8,46.8,44.8,46.2,219407
SPU,20180227,46.5,47.0,46.1,46.8,63404
SPU,20180226,47.0,47.4,46.4,47.1,184307
SPU,20180223,45.0,45.2,44.0,45.2,105379
SPU,20180222,44.8,45.4,44.0,44.8,65236
SPU,20180221,45.0,45.2,43.6,43.9,119407
SPU,20180220,46.1,46.9,44.8,45.1,46900
SPU,20180219,44.0,46.3,44.0,46.3,51617
SPU,20180216,45.8,46.9,45.7,46.3,74895
SPU,20180215,44.9,45.9,44.8,45.8,100066
SPU,20180214,44.2,45.2,44.0,44.4,92820
SPU,20180213,45.5,45.9,44.0,44.2,107980
SPU,20180212,43.4,45.3,43.4,45.2,120940
SPU,20180209,42.9,44.0,41.0,43.4,203880
SPU,20180208,45.7,45.7,43.2,43.8,36877
SPU,20180207,46.2,46.2,43.5,45.2,41445
SPU,20180206,40.1,44.5,40.1,44.5,180598
SPU,20180205,44.8,45.0,43.5,44.1,129289
SPU,20180202,44.7,44.9,43.9,44.7,208342
SPU,20180201,44.7,44.8,43.5,44.1,32266
SPU,20180131,44.9,44.9,43.0,44.5,111001
SPU,20180130,46.3,46.3,43.6,44.0,73155
SPU,20180129,47.5,47.9,46.0,46.6,64192
SPU,20180126,50.0,50.4,46.1,47.4,108415
SPU,20180125,45.8,46.3,45.3,45.6,505198
SPU,20180124,44.9,45.9,44.7,45.5,190729
SPU,20180123,44.1,44.8,44.0,44.0,442450
SPU,20180122,43.0,44.3,43.0,44.0,433698
SPU,20180119,44.0,44.0,43.0,43.3,218266
SPU,20180118,43.2,44.3,43.2,43.5,166954
SPU,20180117,43.6,43.7,42.1,43.0,159130
SPU,20180116,43.3,43.6,42.9,43.5,143911
SPU,20180115,43.4,43.5,42.7,43.1,42435
SPU,20180112,43.5,43.5,41.3,42.9,244894
SPU,20180111,43.5,43.5,42.0,42.9,53192
