<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
WWL,20180503,55.80,56.60,55.60,56.00,183650
WWL,20180502,55.00,56.00,54.50,55.50,397515
WWL,20180430,55.70,55.80,54.60,55.50,377396
WWL,20180427,55.90,56.30,55.50,55.90,171093
WWL,20180426,55.90,56.10,55.30,55.70,234188
WWL,20180425,56.90,56.90,54.70,55.30,373055
WWL,20180424,56.40,57.40,56.40,56.60,363753
WWL,20180423,55.60,56.40,55.20,56.00,222221
WWL,20180420,55.00,55.60,55.00,55.50,233437
WWL,20180419,55.40,55.90,54.80,55.00,175561
WWL,20180418,53.50,55.60,53.30,55.20,849297
WWL,20180417,53.60,53.90,53.10,53.20,243774
WWL,20180416,54.50,54.50,53.20,53.50,218757
WWL,20180413,54.20,55.00,54.20,54.30,189380
WWL,20180412,54.30,54.50,53.50,54.00,176050
WWL,20180411,53.40,54.40,52.40,54.30,600082
WWL,20180410,53.40,53.90,52.90,53.00,427607
WWL,20180409,52.80,53.70,52.50,52.80,219846
WWL,20180406,53.00,53.50,52.50,52.80,220058
WWL,20180405,52.50,53.40,52.50,53.10,278261
WWL,20180404,53.50,53.70,51.80,52.20,451041
WWL,20180403,55.60,55.60,53.00,53.50,504722
WWL,20180328,55.60,55.70,54.40,55.10,98052
WWL,20180327,56.40,56.70,55.10,55.70,351720
WWL,20180326,55.00,56.70,54.90,56.10,285351
WWL,20180323,53.10,55.20,53.10,54.90,324959
WWL,20180322,54.40,55.90,54.40,55.30,308224
WWL,20180321,55.00,55.00,53.90,54.70,138751
WWL,20180320,55.50,55.60,54.10,54.90,188907
WWL,20180319,54.80,54.90,53.90,54.80,179252
WWL,20180316,55.50,55.50,54.60,55.20,235765
WWL,20180315,55.90,55.90,54.60,55.70,208182
WWL,20180314,55.90,55.90,55.10,55.60,217204
WWL,20180313,55.10,56.00,54.80,56.00,451019
WWL,20180312,55.90,56.30,54.50,55.20,575464
WWL,20180309,56.20,56.30,55.50,55.70,288216
WWL,20180308,55.90,56.40,55.40,55.80,493786
WWL,20180307,56.80,56.80,54.90,55.40,534070
WWL,20180306,56.70,57.60,56.30,57.30,483475
WWL,20180305,57.10,57.60,55.90,56.90,376858
WWL,20180302,59.30,59.80,57.50,58.00,342151
WWL,20180301,60.40,60.40,59.50,60.10,234464
