<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
ANACM.IS,20180518,2.55,2.57,2.5,2.52,1661413
ANACM.IS,20180517,2.62,2.63,2.53,2.54,1603727
ANACM.IS,20180516,2.64,2.66,2.58,2.59,3466985
ANACM.IS,20180515,2.76,2.78,2.62,2.64,3041580
ANACM.IS,20180514,2.77,2.81,2.75,2.77,1309032
ANACM.IS,20180511,2.81,2.82,2.75,2.77,2040828
ANACM.IS,20180510,2.77,2.82,2.73,2.8,1565568
ANACM.IS,20180509,2.66,2.81,2.66,2.75,2260879
ANACM.IS,20180508,2.94,2.95,2.73,2.76,3067031
ANACM.IS,20180507,3.02,3.04,2.91,2.91,1304996
ANACM.IS,20180504,3.07,3.08,3.01,3.01,2166138
ANACM.IS,20180503,3.18,3.18,3.03,3.07,1642629
ANACM.IS,20180502,3.12,3.2,3.06,3.18,2273450
ANACM.IS,20180501,3.15,3.15,3.15,3.15,0
ANACM.IS,20180430,3.21,3.24,3.05,3.15,3114649
ANACM.IS,20180427,3.13,3.22,3.11,3.19,2485272
ANACM.IS,20180426,3.19,3.19,3.08,3.12,1687114
ANACM.IS,20180425,3.25,3.27,3.12,3.16,1689679
ANACM.IS,20180424,3.32,3.32,3.23,3.26,2286703
ANACM.IS,20180423,3.32,3.32,3.32,3.32,0
ANACM.IS,20180420,3.37,3.39,3.28,3.32,2321917
ANACM.IS,20180419,3.22,3.39,3.2,3.37,3751277
ANACM.IS,20180418,3.13,3.22,3.05,3.2,1796497
ANACM.IS,20180417,3.29,3.32,3.1,3.11,2611947
ANACM.IS,20180416,3.26,3.32,3.25,3.28,1565016
ANACM.IS,20180413,3.22,3.29,3.21,3.25,1567146
ANACM.IS,20180412,3.17,3.3,3.15,3.23,3062164
ANACM.IS,20180411,3.25,3.31,3.01,3.17,2468067
ANACM.IS,20180410,3.3,3.34,3.19,3.28,2135917
ANACM.IS,20180409,3.34,3.35,3.21,3.28,2529840
ANACM.IS,20180406,3.23,3.34,3.22,3.27,2165787
ANACM.IS,20180405,3.2,3.28,3.19,3.24,1356802
ANACM.IS,20180404,3.22,3.23,3.12,3.2,1734894
ANACM.IS,20180403,3.32,3.35,3.18,3.21,1254065
ANACM.IS,20180402,3.37,3.38,3.32,3.32,494838
ANACM.IS,20180330,3.44,3.46,3.36,3.38,883522
ANACM.IS,20180329,3.41,3.46,3.41,3.41,1004999
ANACM.IS,20180328,3.5,3.5,3.35,3.38,1762220
ANACM.IS,20180327,3.53,3.54,3.46,3.49,1855260
ANACM.IS,20180326,3.56,3.58,3.47,3.48,2161704
ANACM.IS,20180323,3.49,3.56,3.48,3.55,1462008
ANACM.IS,20180322,3.61,3.69,3.51,3.53,1219901
ANACM.IS,20180321,3.53,3.69,3.51,3.61,1454704
ANACM.IS,20180320,3.51,3.57,3.48,3.52,1527888
ANACM.IS,20180319,3.55,3.63,3.47,3.48,1649924
ANACM.IS,20180316,3.67,3.68,3.58,3.6,938252
ANACM.IS,20180315,3.64,3.69,3.56,3.65,1041648
ANACM.IS,20180314,3.73,3.75,3.64,3.66,956693
ANACM.IS,20180313,3.73,3.75,3.69,3.71,1082989
ANACM.IS,20180312,3.69,3.77,3.67,3.74,1724789
ANACM.IS,20180309,3.75,3.75,3.65,3.69,2218096
ANACM.IS,20180308,3.72,3.79,3.6,3.76,4350851
ANACM.IS,20180307,3.46,3.71,3.45,3.7,4819016
ANACM.IS,20180306,3.55,3.56,3.45,3.47,2430421
ANACM.IS,20180305,3.42,3.54,3.42,3.51,2111666
ANACM.IS,20180302,3.42,3.57,3.32,3.4,6908419
