<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
EGEEN.IS,20180518,301.600006,314.299988,301.399994,311.600006,31352.0
EGEEN.IS,20180517,305.799988,307.700012,298.600006,300.5,28983.0
EGEEN.IS,20180516,310.0,312.399994,304.799988,304.799988,17959.0
EGEEN.IS,20180515,314.0,316.0,308.399994,309.899994,21202.0
EGEEN.IS,20180514,315.0,317.700012,314.200012,315.100006,12102.0
EGEEN.IS,20180511,316.100006,320.700012,314.200012,315.100006,22776.0
EGEEN.IS,20180510,325.299988,326.0,311.600006,316.200012,36670.0
EGEEN.IS,20180509,315.5,324.0,312.0,319.200012,21382.0
EGEEN.IS,20180508,318.0,322.100006,310.0,318.100006,31279.0
EGEEN.IS,20180507,321.5,322.100006,315.600006,316.100006,11119.0
EGEEN.IS,20180504,319.299988,321.0,312.700012,320.200012,24198.0
EGEEN.IS,20180503,322.0,329.5,319.0,319.0,21571.0
EGEEN.IS,20180502,320.0,324.0,314.5,320.5,19662.0
EGEEN.IS,20180501,318.399994,318.399994,318.399994,318.399994,0.0
EGEEN.IS,20180430,332.5,332.899994,317.600006,318.399994,20405.0
EGEEN.IS,20180427,336.299988,337.0,329.299988,329.299988,17821.0
EGEEN.IS,20180426,344.0,347.100006,335.0,335.100006,20657.0
EGEEN.IS,20180425,343.0,349.0,341.600006,343.799988,27583.0
EGEEN.IS,20180424,353.600006,355.5,342.600006,343.0,19635.0
EGEEN.IS,20180423,354.200012,354.200012,354.200012,354.200012,0.0
EGEEN.IS,20180420,358.0,364.700012,352.5,354.200012,28853.0
EGEEN.IS,20180419,383.399994,385.0,377.899994,379.0,28841.0
EGEEN.IS,20180418,377.600006,383.399994,365.299988,382.399994,27706.0
EGEEN.IS,20180417,392.5,395.700012,375.600006,376.0,36214.0
EGEEN.IS,20180416,387.399994,397.0,387.0,391.399994,29675.0
EGEEN.IS,20180413,399.0,400.0,383.5,389.200012,22871.0
EGEEN.IS,20180412,374.5,396.5,374.5,394.0,64880.0
EGEEN.IS,20180411,377.399994,388.0,353.5,374.100006,30218.0
EGEEN.IS,20180410,381.399994,384.0,366.799988,377.299988,16651.0
EGEEN.IS,20180409,386.5,388.299988,379.100006,380.799988,20201.0
EGEEN.IS,20180406,383.0,388.899994,379.899994,388.299988,10906.0
EGEEN.IS,20180405,374.100006,385.700012,374.100006,383.600006,14616.0
EGEEN.IS,20180404,379.299988,379.700012,373.5,374.100006,14384.0
EGEEN.IS,20180403,377.0,382.5,367.0,377.299988,13826.0
EGEEN.IS,20180402,384.5,384.899994,375.200012,377.0,7826.0
EGEEN.IS,20180330,388.200012,390.200012,381.0,383.200012,15931.0
EGEEN.IS,20180329,384.200012,393.799988,380.0,387.100006,29573.0
EGEEN.IS,20180328,386.0,395.5,379.100006,382.799988,26958.0
EGEEN.IS,20180327,402.0,402.0,386.0,386.799988,21480.0
EGEEN.IS,20180326,382.200012,405.0,381.0,399.100006,63246.0
EGEEN.IS,20180323,378.0,384.0,376.100006,380.799988,14759.0
EGEEN.IS,20180322,382.0,386.0,380.0,380.0,14996.0
EGEEN.IS,20180321,386.200012,387.899994,381.0,383.100006,19734.0
EGEEN.IS,20180320,389.0,391.700012,384.5,385.200012,16631.0
EGEEN.IS,20180319,387.5,392.5,385.0,389.5,18165.0
EGEEN.IS,20180316,381.0,389.899994,378.0,389.600006,23826.0
EGEEN.IS,20180315,369.200012,380.5,369.200012,379.0,23734.0
EGEEN.IS,20180314,380.700012,383.899994,370.0,370.5,36989.0
EGEEN.IS,20180313,370.0,381.700012,370.0,380.0,54360.0
EGEEN.IS,20180312,369.799988,375.5,361.0,372.0,30287.0
EGEEN.IS,20180309,368.399994,377.799988,365.899994,368.299988,63606.0
EGEEN.IS,20180308,357.0,368.0,355.5,366.5,40804.0
EGEEN.IS,20180307,348.899994,360.299988,343.0,355.0,38064.0
EGEEN.IS,20180306,352.799988,366.0,345.5,346.5,138035.0
EGEEN.IS,20180305,330.600006,350.700012,327.0,350.700012,103791.0
EGEEN.IS,20180302,311.0,333.5,310.399994,330.100006,73390.0
EGEEN.IS,20180301,316.0,318.299988,311.799988,312.0,11869.0
EGEEN.IS,20180228,321.0,323.899994,315.799988,317.399994,24179.0
EGEEN.IS,20180227,322.5,324.700012,321.0,322.399994,7530.0
EGEEN.IS,20180226,325.100006,326.5,322.100006,322.5,9388.0
EGEEN.IS,20180223,324.5,326.600006,323.0,324.700012,6808.0
EGEEN.IS,20180222,323.799988,325.600006,320.799988,324.299988,7861.0
EGEEN.IS,20180221,322.0,325.700012,319.0,323.799988,13986.0
EGEEN.IS,20180220,329.0,332.200012,315.100006,315.200012,23225.0
EGEEN.IS,20180219,333.700012,335.0,325.399994,329.0,38656.0
EGEEN.IS,20180216,334.0,336.5,331.5,332.0,17952.0
EGEEN.IS,20180215,331.0,334.399994,329.700012,334.0,21941.0
EGEEN.IS,20180214,324.0,331.200012,324.0,327.700012,15042.0
EGEEN.IS,20180213,334.0,334.899994,323.100006,323.100006,13496.0
EGEEN.IS,20180212,333.0,336.0,332.0,332.200012,9745.0
EGEEN.IS,20180209,329.399994,332.600006,325.100006,331.200012,16813.0
EGEEN.IS,20180208,337.799988,339.899994,331.0,331.5,7943.0
EGEEN.IS,20180207,341.899994,345.5,335.100006,337.0,17805.0
EGEEN.IS,20180206,331.0,343.0,325.100006,341.600006,29518.0
EGEEN.IS,20180205,351.799988,353.899994,343.200012,344.0,14878.0
EGEEN.IS,20180202,355.5,358.0,351.5,353.0,13312.0
EGEEN.IS,20180201,354.0,361.0,354.0,355.799988,18689.0
EGEEN.IS,20180131,346.0,354.899994,345.0,353.700012,27434.0
EGEEN.IS,20180130,340.0,349.5,339.700012,345.0,33528.0
EGEEN.IS,20180129,346.100006,347.200012,340.299988,341.200012,12209.0
EGEEN.IS,20180126,345.200012,351.600006,338.299988,345.5,46336.0
EGEEN.IS,20180125,340.899994,353.5,339.5,345.200012,47650.0
EGEEN.IS,20180124,334.0,342.0,333.100006,339.5,30010.0
EGEEN.IS,20180123,330.0,338.799988,330.0,332.899994,27486.0
EGEEN.IS,20180122,327.5,331.799988,324.0,329.5,8937.0
EGEEN.IS,20180119,334.899994,334.899994,325.5,326.5,13818.0
