<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GOLTS.IS,20180504,53.450001,53.700001,52.5,52.75,41477.0
GOLTS.IS,20180503,54.299999,54.599998,53.299999,53.5,36810.0
GOLTS.IS,20180502,55.799999,55.849998,53.299999,54.299999,78621.0
GOLTS.IS,20180501,55.200001,55.200001,55.200001,55.200001,0.0
GOLTS.IS,20180430,56.150002,56.950001,55.150002,55.200001,43362.0
GOLTS.IS,20180427,56.099998,56.5,55.650002,56.200001,28894.0
GOLTS.IS,20180426,55.900002,56.200001,55.200001,55.950001,33512.0
GOLTS.IS,20180425,57.5,57.549999,55.5,55.799999,71273.0
GOLTS.IS,20180424,57.950001,58.0,57.400002,57.549999,25549.0
GOLTS.IS,20180423,57.950001,57.950001,57.950001,57.950001,0.0
GOLTS.IS,20180420,58.599998,58.849998,57.799999,57.950001,44434.0
GOLTS.IS,20180419,58.900002,59.049999,58.349998,58.549999,51131.0
GOLTS.IS,20180418,57.799999,58.75,56.200001,58.650002,79673.0
GOLTS.IS,20180417,59.099998,59.5,57.25,57.700001,68087.0
GOLTS.IS,20180416,57.900002,59.0,57.900002,58.849998,48658.0
GOLTS.IS,20180413,61.150002,61.150002,56.799999,57.599998,94558.0
GOLTS.IS,20180412,57.400002,58.650002,56.450001,58.349998,96908.0
GOLTS.IS,20180411,60.099998,60.400002,54.549999,57.400002,96572.0
GOLTS.IS,20180410,62.450001,62.450001,60.0,60.049999,75546.0
GOLTS.IS,20180409,64.449997,64.5,61.900002,62.150002,96083.0
GOLTS.IS,20180406,64.599998,65.150002,64.400002,64.5,42968.0
GOLTS.IS,20180405,64.599998,65.0,64.300003,64.650002,70861.0
GOLTS.IS,20180404,65.199997,65.5,64.599998,64.800003,73337.0
GOLTS.IS,20180403,66.099998,66.400002,64.900002,65.150002,90353.0
GOLTS.IS,20180402,63.349998,66.400002,63.349998,65.949997,274931.0
GOLTS.IS,20180330,63.5,63.849998,63.099998,63.25,91792.0
GOLTS.IS,20180329,62.299999,64.550003,62.299999,63.150002,306628.0
GOLTS.IS,20180328,62.099998,63.099998,62.0,62.200001,175273.0
GOLTS.IS,20180327,62.299999,62.5,61.950001,62.099998,155828.0
GOLTS.IS,20180326,61.950001,62.400002,61.549999,61.900002,88529.0
GOLTS.IS,20180323,61.400002,61.650002,61.099998,61.400002,36425.0
GOLTS.IS,20180322,62.299999,62.349998,61.5,61.599998,62835.0
GOLTS.IS,20180321,62.099998,62.599998,61.849998,62.049999,78248.0
GOLTS.IS,20180320,61.75,62.099998,61.599998,61.950001,44135.0
GOLTS.IS,20180319,61.650002,62.0,61.549999,61.650002,37922.0
GOLTS.IS,20180316,62.200001,62.5,61.549999,61.650002,72410.0
GOLTS.IS,20180315,61.75,63.150002,61.650002,61.950001,123650.0
GOLTS.IS,20180314,61.650002,62.400002,61.5,61.75,60137.0
GOLTS.IS,20180313,63.099998,63.150002,61.650002,61.650002,90035.0
GOLTS.IS,20180312,61.549999,62.700001,61.400002,62.700001,145147.0
GOLTS.IS,20180309,61.150002,61.599998,60.900002,61.299999,40867.0
GOLTS.IS,20180308,61.299999,61.700001,60.849998,60.900002,52544.0
GOLTS.IS,20180307,61.099998,62.299999,60.950001,61.299999,166033.0
GOLTS.IS,20180306,61.150002,61.200001,60.799999,61.0,71078.0
GOLTS.IS,20180305,61.150002,61.450001,60.75,60.75,35067.0
GOLTS.IS,20180302,61.75,61.900002,60.849998,60.849998,33163.0
GOLTS.IS,20180301,62.349998,62.400002,61.650002,61.700001,50552.0
GOLTS.IS,20180228,62.150002,62.700001,62.150002,62.200001,48607.0
GOLTS.IS,20180227,62.900002,62.950001,62.25,62.349998,102643.0
GOLTS.IS,20180226,62.599998,63.099998,62.450001,62.75,62262.0
GOLTS.IS,20180223,62.5,62.5,62.0,62.400002,66610.0
GOLTS.IS,20180222,61.849998,62.099998,61.650002,62.0,38662.0
