<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
KARTN.IS,20180518,251.69999700000002,254.0,251.600006,253.899994,4170.0
KARTN.IS,20180517,254.30000299999998,254.80000299999998,251.100006,251.600006,6476.0
KARTN.IS,20180516,253.600006,255.19999700000002,250.0,253.30000299999998,7506.0
KARTN.IS,20180515,260.700012,260.700012,253.399994,254.5,10887.0
KARTN.IS,20180514,260.0,262.100006,260.0,260.200012,7798.0
KARTN.IS,20180511,262.0,263.0,259.0,260.299988,12753.0
KARTN.IS,20180510,265.5,266.399994,259.200012,262.399994,18391.0
KARTN.IS,20180509,249.80000299999998,261.0,244.899994,260.5,25830.0
KARTN.IS,20180508,259.0,259.0,250.5,251.5,12667.0
KARTN.IS,20180507,261.0,262.399994,257.100006,257.5,5428.0
KARTN.IS,20180504,260.5,260.899994,258.0,260.5,6415.0
KARTN.IS,20180503,260.0,264.899994,257.899994,259.0,29913.0
KARTN.IS,20180502,253.899994,261.399994,243.0,257.100006,23037.0
KARTN.IS,20180501,253.399994,253.399994,253.399994,253.399994,0.0
KARTN.IS,20180430,261.0,261.799988,253.30000299999998,253.399994,12704.0
KARTN.IS,20180427,261.299988,261.600006,259.299988,259.799988,9664.0
KARTN.IS,20180426,261.899994,261.899994,258.0,260.399994,7401.0
KARTN.IS,20180425,266.0,266.399994,258.700012,260.200012,9909.0
KARTN.IS,20180424,266.299988,267.5,264.799988,265.100006,6342.0
KARTN.IS,20180423,266.5,266.5,266.5,266.5,0.0
KARTN.IS,20180420,265.0,266.899994,264.299988,266.5,6106.0
KARTN.IS,20180419,265.200012,266.899994,264.5,265.399994,7461.0
KARTN.IS,20180418,262.799988,266.0,258.399994,265.5,12204.0
KARTN.IS,20180417,270.899994,271.200012,258.600006,262.0,15410.0
KARTN.IS,20180416,270.799988,271.799988,255.399994,269.799988,6345.0
KARTN.IS,20180413,283.0,285.0,265.899994,269.700012,42658.0
KARTN.IS,20180412,258.0,273.700012,258.0,273.200012,53522.0
KARTN.IS,20180411,257.200012,259.700012,249.19999700000002,258.799988,23311.0
KARTN.IS,20180410,264.299988,264.299988,256.100006,257.299988,14498.0
KARTN.IS,20180409,268.5,269.100006,263.200012,264.0,9789.0
KARTN.IS,20180406,269.600006,269.600006,268.0,268.299988,6067.0
KARTN.IS,20180405,269.700012,271.0,268.5,269.100006,7735.0
KARTN.IS,20180404,271.200012,271.899994,268.5,268.5,8663.0
KARTN.IS,20180403,272.5,273.799988,271.0,271.100006,7280.0
