<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
PETKM.IS,20180518,4.93,5.08,4.84,4.97,58622735.0
PETKM.IS,20180517,5.16,5.17,4.91,4.92,43028089.0
PETKM.IS,20180516,4.94,5.36,4.8,5.16,143671044.0
PETKM.IS,20180515,5.1,5.11,4.87,4.9,47936957.0
PETKM.IS,20180514,5.02,5.24,5.0,5.14,43664238.0
PETKM.IS,20180511,5.34,5.37,5.0,5.02,53287001.0
PETKM.IS,20180510,5.39,5.48,5.32,5.33,39690869.0
PETKM.IS,20180509,5.34,5.53,5.21,5.36,50754350.0
PETKM.IS,20180508,5.84,5.86,5.4,5.4,46140136.0
PETKM.IS,20180507,6.02,6.02,5.8,5.81,35739901.0
PETKM.IS,20180504,6.25,6.39,5.88,6.01,92476963.0
PETKM.IS,20180503,6.9,6.94,6.69,6.72,18877220.0
PETKM.IS,20180502,7.2,7.25,7.02,7.22,27333714.0
PETKM.IS,20180501,7.18,7.18,7.18,7.18,0.0
PETKM.IS,20180430,7.51,7.55,7.1,7.18,20756359.0
PETKM.IS,20180427,7.48,7.52,7.39,7.5,15924126.0
PETKM.IS,20180426,7.37,7.46,7.27,7.46,17669217.0
PETKM.IS,20180425,7.6,7.62,7.32,7.34,20372182.0
PETKM.IS,20180424,7.63,7.69,7.56,7.57,14671695.0
PETKM.IS,20180423,7.67,7.67,7.67,7.67,0.0
PETKM.IS,20180420,7.74,7.75,7.65,7.67,15193986.0
PETKM.IS,20180419,7.77,7.83,7.73,7.76,26147269.0
PETKM.IS,20180418,7.6,7.77,7.43,7.76,35162931.0
PETKM.IS,20180417,7.84,7.86,7.57,7.6,39059337.0
PETKM.IS,20180416,7.66,7.8,7.65,7.79,22395864.0
PETKM.IS,20180413,7.71,7.73,7.63,7.64,12585307.0
PETKM.IS,20180412,7.67,7.73,7.54,7.68,18602738.0
PETKM.IS,20180411,7.65,7.77,7.37,7.65,33780893.0
PETKM.IS,20180410,7.85,7.85,7.55,7.68,29966816.0
PETKM.IS,20180409,8.04,8.07,7.78,7.83,29704934.0
PETKM.IS,20180406,7.86,8.01,7.84,8.0,32261544.0
PETKM.IS,20180405,7.88,7.9,7.76,7.88,35401285.0
PETKM.IS,20180404,8.15,8.16,7.82,7.86,49445546.0
PETKM.IS,20180403,8.25,8.27,8.12,8.13,22938204.0
PETKM.IS,20180402,8.16,8.26,8.12,8.23,25784288.0
PETKM.IS,20180330,8.15,8.18,8.09,8.13,12599836.0
PETKM.IS,20180329,8.04,8.11,8.03,8.09,16746224.0
PETKM.IS,20180328,7.96,8.13,7.95,8.01,37863191.0
PETKM.IS,20180327,8.09,8.13,7.94,7.96,23842668.0
PETKM.IS,20180326,8.07,8.13,8.01,8.03,22125405.0
PETKM.IS,20180323,7.99,8.07,7.93,8.02,19548235.0
PETKM.IS,20180322,8.12,8.19,8.07,8.09,38127333.0
PETKM.IS,20180321,7.99,8.08,7.99,8.08,20972809.0
PETKM.IS,20180320,7.99,8.03,7.9,7.98,18578164.0
PETKM.IS,20180319,8.13,8.14,7.96,7.96,20245577.0
PETKM.IS,20180316,8.18,8.2,8.1,8.12,15004069.0
PETKM.IS,20180315,8.0,8.17,7.98,8.16,29025752.0
PETKM.IS,20180314,8.03,8.11,7.94,7.99,18390002.0
PETKM.IS,20180313,7.98,8.07,7.96,8.02,27117764.0
PETKM.IS,20180312,8.01,8.03,7.93,7.98,23729012.0
PETKM.IS,20180309,7.78,7.96,7.76,7.96,29374830.0
PETKM.IS,20180308,7.79,7.86,7.77,7.79,26782950.0
PETKM.IS,20180307,7.73,7.79,7.66,7.77,26259944.0
PETKM.IS,20180306,7.85,7.87,7.71,7.75,33597781.0
PETKM.IS,20180305,8.1,8.13,7.81,7.83,40798580.0
PETKM.IS,20180302,8.13,8.21,8.05,8.08,40024433.0
PETKM.IS,20180301,8.07,8.17,8.06,8.14,54062731.0
PETKM.IS,20180228,7.91,8.06,7.9,8.04,31381871.0
PETKM.IS,20180227,8.04,8.04,7.87,7.92,20306317.0
PETKM.IS,20180226,8.05,8.08,7.98,8.02,20039357.0
PETKM.IS,20180223,8.08,8.09,7.96,8.02,27825855.0
PETKM.IS,20180222,7.85,8.04,7.85,8.04,47739746.0
PETKM.IS,20180221,7.79,7.88,7.7,7.84,31794238.0
PETKM.IS,20180220,7.9,8.0,7.57,7.6,32627631.0
PETKM.IS,20180219,7.79,7.91,7.77,7.88,34334358.0
PETKM.IS,20180216,7.8,7.82,7.68,7.71,20477993.0
PETKM.IS,20180215,7.58,7.78,7.57,7.77,24849156.0
PETKM.IS,20180214,7.55,7.57,7.48,7.51,13855907.0
PETKM.IS,20180213,7.65,7.69,7.47,7.47,18014268.0
PETKM.IS,20180212,7.59,7.68,7.56,7.62,19308298.0
PETKM.IS,20180209,7.52,7.56,7.36,7.52,19769958.0
PETKM.IS,20180208,7.61,7.66,7.51,7.54,26493006.0
PETKM.IS,20180207,7.72,7.75,7.59,7.59,22601345.0
PETKM.IS,20180206,7.48,7.67,7.45,7.66,28591979.0
PETKM.IS,20180205,7.74,7.82,7.66,7.66,17245663.0
PETKM.IS,20180202,7.97,7.98,7.72,7.78,26410485.0
PETKM.IS,20180201,7.97,8.08,7.92,7.95,25677714.0
PETKM.IS,20180131,7.96,8.03,7.93,7.94,17060513.0
PETKM.IS,20180130,7.93,8.01,7.91,7.91,14200520.0
PETKM.IS,20180129,7.99,8.05,7.94,7.96,29113952.0
PETKM.IS,20180126,7.97,8.03,7.92,7.97,19532560.0
PETKM.IS,20180125,7.95,8.07,7.88,7.94,31389972.0
PETKM.IS,20180124,8.01,8.07,7.91,7.92,27150067.0
PETKM.IS,20180123,8.02,8.15,7.96,7.97,40934531.0
PETKM.IS,20180122,7.72,7.99,7.71,7.98,32453752.0
PETKM.IS,20180119,7.84,7.89,7.66,7.71,21186866.0
PETKM.IS,20180118,7.92,7.95,7.83,7.83,30673791.0
PETKM.IS,20180117,7.81,7.94,7.71,7.87,40473701.0
PETKM.IS,20180116,7.56,7.84,7.45,7.81,34679600.0
PETKM.IS,20180115,7.9,7.99,7.58,7.58,32889534.0
PETKM.IS,20180112,7.86,8.12,7.8,7.95,53745533.0
PETKM.IS,20180111,7.88,7.91,7.66,7.83,42873701.0
PETKM.IS,20180110,8.3,8.3,7.79,7.86,61684295.0
PETKM.IS,20180109,8.43,8.46,8.28,8.31,26782618.0
PETKM.IS,20180108,8.44,8.56,8.4,8.41,40271311.0
PETKM.IS,20180105,8.26,8.45,8.25,8.38,48952773.0
PETKM.IS,20180104,7.97,8.26,7.97,8.22,36433387.0
PETKM.IS,20180103,8.01,8.09,7.91,7.96,29585292.0
PETKM.IS,20180102,7.8,8.02,7.77,8.0,28595044.0
PETKM.IS,20180101,7.77,7.77,7.77,7.77,0.0
PETKM.IS,20171229,7.68,7.81,7.66,7.77,22642906.0
PETKM.IS,20171228,7.43,7.68,7.43,7.66,27987406.0
PETKM.IS,20171227,7.53,7.53,7.39,7.41,15458263.0
PETKM.IS,20171226,7.53,7.56,7.49,7.53,7133302.0
PETKM.IS,20171225,7.48,7.51,7.41,7.5,8324837.0
PETKM.IS,20171222,7.24,7.51,7.23,7.45,26324710.0
PETKM.IS,20171221,7.22,7.26,7.18,7.22,7751438.0
PETKM.IS,20171220,7.24,7.28,7.17,7.21,10363343.0
PETKM.IS,20171219,7.23,7.32,7.23,7.25,11362307.0
PETKM.IS,20171218,7.27,7.29,7.19,7.23,15642412.0
PETKM.IS,20171215,7.14,7.27,7.1,7.25,15072337.0
PETKM.IS,20171214,7.1,7.17,7.04,7.14,25999693.0
PETKM.IS,20171213,6.89,7.1,6.88,7.08,26372213.0
PETKM.IS,20171212,6.94,6.98,6.86,6.88,14621593.0
PETKM.IS,20171211,6.93,6.97,6.89,6.95,15264476.0
PETKM.IS,20171208,6.96,6.99,6.86,6.9,14719640.0
PETKM.IS,20171207,6.84,6.97,6.81,6.94,28074828.0
PETKM.IS,20171206,6.83,6.87,6.8,6.83,15994969.0
PETKM.IS,20171205,6.83,6.91,6.71,6.81,29451482.0
PETKM.IS,20171204,6.55,6.83,6.53,6.81,27340016.0
PETKM.IS,20171201,6.53,6.63,6.49,6.55,16709118.0
PETKM.IS,20171130,6.35,6.59,6.35,6.52,25879560.0
PETKM.IS,20171129,6.38,6.42,6.28,6.31,20219786.0
PETKM.IS,20171128,6.6,6.72,6.38,6.38,34382789.0
PETKM.IS,20171127,6.53,6.64,6.48,6.61,20251403.0
PETKM.IS,20171124,6.51,6.57,6.42,6.51,17565286.0
PETKM.IS,20171123,6.58,6.61,6.5,6.54,17918425.0
PETKM.IS,20171122,6.46,6.61,6.43,6.57,37673295.0
PETKM.IS,20171121,6.36,6.48,6.27,6.48,27973150.0
PETKM.IS,20171120,6.45,6.47,6.32,6.39,17307524.0
PETKM.IS,20171117,6.44,6.47,6.32,6.46,16085921.0
PETKM.IS,20171116,6.37,6.49,6.35,6.41,23771189.0
PETKM.IS,20171115,6.5,6.51,6.34,6.37,25286976.0
PETKM.IS,20171114,6.57,6.58,6.37,6.51,36173692.0
PETKM.IS,20171113,6.7,6.72,6.56,6.57,22847125.0
PETKM.IS,20171110,6.72,6.81,6.54,6.65,40102216.0
PETKM.IS,20171109,6.86,6.86,6.61,6.62,20160786.0
PETKM.IS,20171108,6.8,6.87,6.66,6.82,24258522.0
PETKM.IS,20171107,6.95,6.97,6.74,6.75,27121304.0
PETKM.IS,20171106,6.71,6.95,6.71,6.95,36581957.0
PETKM.IS,20171103,6.69,6.77,6.59,6.69,21905148.0
PETKM.IS,20171102,6.73,6.76,6.66,6.69,28554237.0
PETKM.IS,20171101,6.66,6.7,6.6,6.69,24513161.0
PETKM.IS,20171031,6.63,6.73,6.59,6.64,29543765.0
PETKM.IS,20171030,6.47,6.6,6.45,6.6,34867586.0
PETKM.IS,20171027,6.36,6.45,6.35,6.42,15576931.0
PETKM.IS,20171026,6.43,6.49,6.37,6.37,18961137.0
PETKM.IS,20171025,6.34,6.46,6.34,6.43,20689117.0
