<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
TTKOM.IS,20180518,5.6,5.74,5.54,5.7,4740653.0
TTKOM.IS,20180517,5.44,5.67,5.44,5.59,3663448.0
TTKOM.IS,20180516,5.63,5.77,5.51,5.61,5052660.0
TTKOM.IS,20180515,5.75,5.75,5.59,5.63,9325607.0
TTKOM.IS,20180514,5.74,5.97,5.74,5.88,2327178.0
TTKOM.IS,20180511,5.82,5.92,5.72,5.74,2907185.0
TTKOM.IS,20180510,5.86,5.86,5.67,5.8,2373654.0
TTKOM.IS,20180509,5.66,5.92,5.51,5.76,5026209.0
TTKOM.IS,20180508,5.78,5.79,5.65,5.68,3680962.0
TTKOM.IS,20180507,5.8,5.87,5.71,5.72,2761563.0
TTKOM.IS,20180504,5.95,5.95,5.66,5.8,7521843.0
TTKOM.IS,20180503,6.15,6.15,5.87,5.95,7017294.0
TTKOM.IS,20180502,6.28,6.28,6.12,6.15,4809721.0
TTKOM.IS,20180501,6.29,6.29,6.29,6.29,0.0
TTKOM.IS,20180430,6.46,6.46,6.26,6.29,5235649.0
TTKOM.IS,20180427,6.45,6.47,6.37,6.45,4499038.0
TTKOM.IS,20180426,6.36,6.42,6.2,6.41,5494453.0
TTKOM.IS,20180425,6.4,6.4,6.23,6.35,7037225.0
TTKOM.IS,20180424,6.36,6.41,6.31,6.34,4750281.0
TTKOM.IS,20180423,6.34,6.34,6.34,6.34,0.0
TTKOM.IS,20180420,6.34,6.37,6.29,6.34,5984340.0
TTKOM.IS,20180419,6.34,6.43,6.31,6.37,4128469.0
TTKOM.IS,20180418,6.15,6.33,6.09,6.33,6269859.0
TTKOM.IS,20180417,6.14,6.22,6.03,6.15,8783668.0
TTKOM.IS,20180416,6.1,6.15,6.07,6.11,2369678.0
TTKOM.IS,20180413,6.12,6.22,6.06,6.08,4306439.0
TTKOM.IS,20180412,6.02,6.17,5.99,6.1,8670249.0
TTKOM.IS,20180411,6.09,6.15,5.84,6.02,7476115.0
TTKOM.IS,20180410,6.3,6.32,6.04,6.09,6492272.0
TTKOM.IS,20180409,6.57,6.57,6.22,6.28,7926592.0
TTKOM.IS,20180406,6.61,6.62,6.49,6.51,4829586.0
TTKOM.IS,20180405,6.67,6.72,6.56,6.64,6234541.0
TTKOM.IS,20180404,6.67,6.71,6.6,6.66,1979113.0
TTKOM.IS,20180403,6.55,6.69,6.55,6.66,4688790.0
TTKOM.IS,20180402,6.66,6.68,6.55,6.58,1036841.0
TTKOM.IS,20180330,6.72,6.75,6.65,6.67,1091533.0
TTKOM.IS,20180329,6.71,6.8,6.69,6.71,3758884.0
TTKOM.IS,20180328,6.85,6.92,6.68,6.72,5968473.0
TTKOM.IS,20180327,6.9,6.9,6.85,6.87,3458443.0
TTKOM.IS,20180326,6.75,6.88,6.74,6.83,3654240.0
TTKOM.IS,20180323,6.76,6.76,6.64,6.72,4983259.0
TTKOM.IS,20180322,6.91,6.93,6.76,6.77,6340715.0
TTKOM.IS,20180321,6.89,6.95,6.82,6.91,2472296.0
TTKOM.IS,20180320,7.0,7.03,6.82,6.85,3630117.0
TTKOM.IS,20180319,6.96,7.0,6.87,6.96,3224306.0
TTKOM.IS,20180316,6.93,7.05,6.84,6.87,3882613.0
TTKOM.IS,20180315,6.95,7.03,6.86,6.91,4516025.0
TTKOM.IS,20180314,7.14,7.15,6.91,6.92,4653716.0
TTKOM.IS,20180313,6.92,7.12,6.83,7.07,8569579.0
TTKOM.IS,20180312,6.89,6.96,6.88,6.91,3546100.0
TTKOM.IS,20180309,6.83,6.93,6.79,6.86,4414336.0
TTKOM.IS,20180308,6.89,6.92,6.76,6.84,5253296.0
TTKOM.IS,20180307,6.85,6.9,6.79,6.83,5125865.0
TTKOM.IS,20180306,6.78,6.97,6.78,6.84,10144401.0
TTKOM.IS,20180305,6.72,6.82,6.68,6.74,11339723.0
TTKOM.IS,20180302,6.58,6.73,6.55,6.68,6621944.0
TTKOM.IS,20180301,6.54,6.74,6.52,6.59,11097383.0
TTKOM.IS,20180228,6.49,6.6,6.44,6.56,4942840.0
TTKOM.IS,20180227,6.63,6.67,6.47,6.5,6006789.0
TTKOM.IS,20180226,6.51,6.65,6.44,6.62,7697421.0
