<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
TTRAK.IS,20180518,55.099998,55.450001,53.700001,53.75,158296.0
TTRAK.IS,20180517,56.0,56.5,55.0,55.049999,39658.0
TTRAK.IS,20180516,55.599998,56.099998,55.049999,55.799999,19104.0
TTRAK.IS,20180515,57.200001,57.200001,54.950001,55.349998,62018.0
TTRAK.IS,20180514,56.950001,57.150002,56.200001,57.049999,18414.0
TTRAK.IS,20180511,57.700001,57.75,56.049999,56.299999,25841.0
TTRAK.IS,20180510,56.849998,57.5,55.900002,57.299999,40555.0
TTRAK.IS,20180509,56.25,57.099998,54.549999,56.599998,51605.0
TTRAK.IS,20180508,57.099998,57.349998,56.0,56.549999,98470.0
TTRAK.IS,20180507,57.900002,57.950001,56.349998,56.849998,48964.0
TTRAK.IS,20180504,56.950001,58.0,56.150002,57.799999,78538.0
TTRAK.IS,20180503,59.200001,59.599998,56.299999,56.799999,144794.0
TTRAK.IS,20180502,61.0,61.549999,58.25,58.900002,173519.0
TTRAK.IS,20180501,60.200001,60.200001,60.200001,60.200001,0.0
TTRAK.IS,20180430,60.549999,62.150002,59.5,60.200001,135796.0
TTRAK.IS,20180427,61.950001,62.0,59.900002,60.650002,209467.0
TTRAK.IS,20180426,65.849998,66.050003,61.700001,61.75,332763.0
TTRAK.IS,20180425,69.150002,69.199997,64.800003,65.050003,284867.0
TTRAK.IS,20180424,70.599998,70.800003,68.699997,68.75,59671.0
TTRAK.IS,20180423,70.400002,70.400002,70.400002,70.400002,0.0
TTRAK.IS,20180420,71.25,71.300003,69.5,70.400002,63583.0
TTRAK.IS,20180419,70.949997,71.800003,70.150002,71.400002,52583.0
TTRAK.IS,20180418,69.449997,70.800003,68.949997,70.300003,73702.0
TTRAK.IS,20180417,71.0,71.050003,68.75,69.099998,76945.0
TTRAK.IS,20180416,70.800003,71.5,70.199997,70.550003,46316.0
TTRAK.IS,20180413,70.800003,71.150002,69.800003,70.449997,78746.0
TTRAK.IS,20180412,71.75,72.0,70.199997,70.800003,64352.0
TTRAK.IS,20180411,70.849998,72.150002,68.599998,71.550003,84017.0
TTRAK.IS,20180410,71.5,71.800003,69.5,70.650002,33936.0
TTRAK.IS,20180409,72.599998,73.199997,71.300003,71.300003,81827.0
TTRAK.IS,20180406,71.900002,74.199997,71.900002,72.400002,39345.0
TTRAK.IS,20180405,72.25,72.25,71.849998,72.050003,25516.0
TTRAK.IS,20180404,71.849998,72.550003,71.849998,72.050003,31002.0
TTRAK.IS,20180403,72.400002,72.800003,72.0,72.0,16324.0
TTRAK.IS,20180402,72.300003,72.599998,71.849998,72.400002,12508.0
TTRAK.IS,20180330,72.599998,73.150002,72.199997,72.199997,19099.0
TTRAK.IS,20180329,72.800003,72.900002,71.900002,72.349998,42626.0
TTRAK.IS,20180328,73.699997,73.800003,72.650002,72.650002,41841.0
TTRAK.IS,20180327,73.5,73.900002,73.5,73.699997,39514.0
TTRAK.IS,20180326,72.699997,73.5,72.650002,73.0,54232.0
TTRAK.IS,20180323,73.0,73.0,72.050003,72.449997,32625.0
TTRAK.IS,20180322,74.300003,74.800003,72.650002,73.300003,62528.0
TTRAK.IS,20180321,74.800003,74.949997,73.0,74.349998,141076.0
TTRAK.IS,20180320,77.099998,77.900002,76.099998,77.599998,170255.0
TTRAK.IS,20180319,76.0,77.650002,76.0,77.099998,48429.0
TTRAK.IS,20180316,76.5,76.900002,75.800003,76.099998,77796.0
TTRAK.IS,20180315,77.0,77.949997,76.050003,76.150002,29903.0
TTRAK.IS,20180314,77.199997,77.75,75.900002,77.699997,85728.0
TTRAK.IS,20180313,77.300003,77.699997,76.900002,76.949997,27085.0
TTRAK.IS,20180312,77.800003,78.099998,77.150002,77.5,29338.0
TTRAK.IS,20180309,78.099998,78.199997,77.0,77.5,37569.0
TTRAK.IS,20180308,78.949997,79.900002,77.5,77.5,47599.0
TTRAK.IS,20180307,77.300003,79.400002,77.199997,79.400002,80373.0
TTRAK.IS,20180306,78.0,78.0,76.75,77.400002,45567.0
TTRAK.IS,20180305,78.199997,78.949997,76.0,77.349998,37628.0
TTRAK.IS,20180302,78.0,78.199997,77.150002,77.949997,50717.0
TTRAK.IS,20180301,77.800003,79.0,76.949997,78.349998,68519.0
TTRAK.IS,20180228,77.5,78.050003,77.400002,77.400002,48008.0
TTRAK.IS,20180227,79.0,79.0,76.5,77.849998,56893.0
TTRAK.IS,20180226,78.550003,79.0,78.5,78.900002,21318.0
TTRAK.IS,20180223,79.0,79.400002,78.400002,78.400002,30749.0
TTRAK.IS,20180222,78.400002,79.199997,77.400002,78.75,21065.0
TTRAK.IS,20180221,77.5,79.5,77.5,78.400002,84788.0
TTRAK.IS,20180220,79.0,79.199997,76.900002,77.349998,22672.0
TTRAK.IS,20180219,79.199997,79.199997,76.0,78.5,36668.0
TTRAK.IS,20180216,78.75,79.0,78.099998,78.449997,28249.0
TTRAK.IS,20180215,76.75,78.949997,76.199997,77.800003,119565.0
TTRAK.IS,20180214,75.699997,76.099998,75.449997,75.849998,62648.0
TTRAK.IS,20180213,75.150002,75.75,74.400002,75.199997,51646.0
TTRAK.IS,20180212,72.800003,74.349998,72.75,73.650002,26776.0
TTRAK.IS,20180209,75.0,75.25,72.0,72.650002,133895.0
TTRAK.IS,20180208,76.0,76.0,74.300003,75.0,21167.0
TTRAK.IS,20180207,76.0,76.400002,75.599998,76.199997,29063.0
TTRAK.IS,20180206,76.5,77.199997,73.949997,75.449997,69545.0
TTRAK.IS,20180205,78.599998,79.5,77.300003,77.300003,25638.0
TTRAK.IS,20180202,77.849998,79.800003,77.599998,78.599998,64934.0
TTRAK.IS,20180201,79.0,79.300003,77.550003,77.849998,25622.0
TTRAK.IS,20180131,79.949997,80.449997,78.5,79.0,43775.0
TTRAK.IS,20180130,79.699997,79.900002,79.150002,79.900002,79785.0
TTRAK.IS,20180129,79.0,80.699997,79.0,79.699997,71167.0
TTRAK.IS,20180126,77.349998,78.800003,77.349998,78.800003,67508.0
TTRAK.IS,20180125,79.0,79.599998,76.900002,77.25,134774.0
TTRAK.IS,20180124,79.949997,79.949997,78.599998,79.0,73125.0
TTRAK.IS,20180123,80.25,80.5,79.0,79.900002,46198.0
TTRAK.IS,20180122,81.0,81.0,79.650002,79.849998,35476.0
TTRAK.IS,20180119,80.050003,80.699997,78.699997,79.599998,107093.0
TTRAK.IS,20180118,79.300003,80.099998,78.75,80.0,130888.0
TTRAK.IS,20180117,78.0,79.800003,77.75,79.199997,66990.0
TTRAK.IS,20180116,77.0,78.949997,76.5,78.449997,61226.0
TTRAK.IS,20180115,79.099998,79.5,76.400002,77.099998,92275.0
TTRAK.IS,20180112,79.849998,79.949997,79.0,79.099998,59281.0
TTRAK.IS,20180111,77.199997,79.599998,76.800003,79.449997,122741.0
TTRAK.IS,20180110,78.0,78.0,76.199997,76.900002,84491.0
TTRAK.IS,20180109,79.449997,79.5,77.699997,78.0,73917.0
TTRAK.IS,20180108,78.5,80.0,78.5,79.099998,339893.0
TTRAK.IS,20180105,75.699997,76.550003,75.400002,76.099998,96971.0
TTRAK.IS,20180104,74.800003,75.900002,74.800003,75.699997,77881.0
TTRAK.IS,20180103,76.150002,76.449997,74.199997,74.75,119232.0
TTRAK.IS,20180102,76.0,76.5,75.75,76.199997,44640.0
TTRAK.IS,20180101,76.0,76.0,76.0,76.0,0.0
TTRAK.IS,20171229,76.400002,76.599998,75.650002,76.0,65525.0
TTRAK.IS,20171228,76.099998,76.75,76.099998,76.300003,56462.0
TTRAK.IS,20171227,76.0,76.25,75.400002,76.050003,62173.0
TTRAK.IS,20171226,76.050003,76.5,75.699997,76.150002,42562.0
TTRAK.IS,20171225,74.849998,76.199997,74.800003,75.849998,65131.0
TTRAK.IS,20171222,74.849998,75.050003,74.5,74.800003,27204.0
TTRAK.IS,20171221,74.800003,74.800003,74.099998,74.75,38634.0
TTRAK.IS,20171220,73.900002,74.75,73.75,74.5,38142.0
TTRAK.IS,20171219,74.5,74.949997,73.699997,73.849998,40182.0
TTRAK.IS,20171218,74.099998,75.400002,73.449997,74.400002,86500.0
TTRAK.IS,20171215,73.050003,74.0,72.5,74.0,94798.0
TTRAK.IS,20171214,72.800003,73.0,72.0,72.550003,104718.0
TTRAK.IS,20171213,73.300003,73.400002,72.5,72.5,76093.0
TTRAK.IS,20171212,72.300003,73.599998,71.800003,73.25,65027.0
TTRAK.IS,20171211,71.900002,73.349998,71.75,72.150002,172558.0
TTRAK.IS,20171208,71.099998,71.849998,70.800003,71.400002,192721.0
TTRAK.IS,20171207,71.0,71.400002,70.650002,70.800003,150447.0
TTRAK.IS,20171206,72.150002,72.5,70.400002,70.849998,184476.0
TTRAK.IS,20171205,74.0,74.300003,72.150002,72.150002,193616.0
TTRAK.IS,20171204,74.0,74.5,73.75,73.849998,35558.0
TTRAK.IS,20171201,73.449997,75.300003,73.25,74.0,40167.0
TTRAK.IS,20171130,74.349998,74.349998,73.5,73.5,13282.0
TTRAK.IS,20171129,74.300003,74.650002,73.099998,74.099998,12875.0
TTRAK.IS,20171128,74.599998,75.5,73.800003,74.349998,59056.0
TTRAK.IS,20171127,73.650002,74.699997,73.400002,74.599998,34822.0
TTRAK.IS,20171124,74.449997,74.5,73.300003,73.550003,54141.0
TTRAK.IS,20171123,75.0,75.599998,74.199997,74.300003,23862.0
TTRAK.IS,20171122,75.150002,75.75,74.150002,75.0,57115.0
TTRAK.IS,20171121,75.5,75.75,74.599998,75.0,100202.0
TTRAK.IS,20171120,75.050003,76.0,75.050003,75.550003,36216.0
TTRAK.IS,20171117,76.150002,77.550003,75.449997,76.0,117885.0
TTRAK.IS,20171116,76.150002,76.150002,75.150002,76.150002,38190.0
TTRAK.IS,20171115,76.300003,76.599998,75.5,76.300003,39307.0
TTRAK.IS,20171114,75.400002,76.949997,75.0,76.949997,21065.0
TTRAK.IS,20171113,75.550003,75.800003,75.050003,75.050003,27264.0
TTRAK.IS,20171110,76.699997,78.199997,75.550003,75.550003,53147.0
TTRAK.IS,20171109,76.75,76.849998,75.75,76.75,32162.0
TTRAK.IS,20171108,76.699997,76.849998,76.0,76.75,25914.0
TTRAK.IS,20171107,77.5,77.5,76.050003,76.300003,77911.0
TTRAK.IS,20171106,76.199997,77.400002,76.150002,77.0,75565.0
TTRAK.IS,20171103,76.300003,76.300003,75.650002,75.650002,60907.0
TTRAK.IS,20171102,76.25,76.550003,74.900002,76.050003,82414.0
TTRAK.IS,20171101,76.0,76.099998,75.5,76.0,92344.0
TTRAK.IS,20171031,75.699997,75.800003,75.300003,75.699997,122590.0
TTRAK.IS,20171030,76.599998,76.849998,75.400002,75.400002,110494.0
TTRAK.IS,20171027,76.75,76.800003,75.800003,76.099998,88334.0
TTRAK.IS,20171026,76.449997,76.650002,76.050003,76.25,43551.0
TTRAK.IS,20171025,76.5,76.800003,76.300003,76.650002,59121.0
TTRAK.IS,20171024,77.300003,77.5,76.25,76.300003,83704.0
TTRAK.IS,20171023,77.5,78.050003,77.050003,77.099998,55976.0
TTRAK.IS,20171020,77.5,77.650002,77.0,77.199997,191084.0
TTRAK.IS,20171019,77.75,77.75,76.599998,77.25,50773.0
TTRAK.IS,20171018,77.25,77.550003,76.599998,76.800003,83679.0
TTRAK.IS,20171017,77.0,78.349998,77.0,77.199997,94024.0
TTRAK.IS,20171016,77.5,77.800003,76.800003,76.900002,44956.0
TTRAK.IS,20171013,80.0,80.0,77.349998,77.400002,78604.0
TTRAK.IS,20171012,77.300003,78.599998,76.900002,78.449997,212906.0
TTRAK.IS,20171011,76.099998,77.900002,75.849998,76.099998,71951.0
TTRAK.IS,20171010,76.0,78.300003,76.0,76.550003,38036.0
TTRAK.IS,20171009,75.949997,76.0,74.449997,75.599998,32340.0
TTRAK.IS,20171006,78.400002,78.400002,76.949997,77.75,25462.0
TTRAK.IS,20171005,79.0,80.150002,77.949997,77.949997,67966.0
TTRAK.IS,20171004,79.5,79.5,77.550003,79.0,45540.0
TTRAK.IS,20171003,80.0,80.0,78.25,78.5,44044.0
TTRAK.IS,20171002,77.650002,79.949997,77.400002,79.5,133562.0
TTRAK.IS,20170929,77.5,77.650002,76.150002,77.650002,42995.0
TTRAK.IS,20170928,75.300003,76.900002,75.25,76.050003,61091.0
