<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BMP,20180426,55.0,56.0,51.6,52.3,470660
BMP,20180424,55.3,56.3,55.0,55.0,396940
BMP,20180423,61.3,61.7,57.1,57.1,339060
BMP,20180420,62.4,62.4,60.3,61.3,329090
BMP,20180419,63.6,63.9,60.1,60.5,466560
BMP,20180418,66.5,67.0,63.6,63.6,603300
BMP,20180417,68.9,69.5,66.0,66.4,356190
BMP,20180416,69.5,69.5,68.6,68.6,178770
BMP,20180413,71.9,71.9,69.5,69.5,195210
BMP,20180412,69.6,72.0,69.5,71.3,362540
BMP,20180411,70.3,72.1,70.0,70.0,373960
BMP,20180410,70.9,71.8,69.8,70.9,314250
BMP,20180409,71.0,71.0,70.5,70.9,207680
BMP,20180406,71.0,71.6,70.6,70.9,208400
BMP,20180405,70.0,71.5,69.0,71.0,222110
BMP,20180404,72.9,72.9,70.0,70.0,256490
BMP,20180403,72.0,73.1,71.6,72.1,284650
BMP,20180402,69.9,71.9,69.0,71.0,183830
BMP,20180330,68.5,69.9,68.0,68.8,235460
BMP,20180329,72.1,72.4,69.5,70.0,445360
BMP,20180328,73.4,73.4,72.5,72.5,210310
BMP,20180327,74.0,74.5,72.6,73.0,355170
BMP,20180326,73.8,75.5,73.6,73.6,179420
BMP,20180323,73.0,74.5,73.0,73.8,357310
BMP,20180322,77.6,77.6,75.3,75.3,234960
BMP,20180321,76.4,77.6,76.4,77.6,473200
BMP,20180320,74.0,76.7,73.3,76.0,512260
BMP,20180319,74.9,74.9,73.4,74.0,510060
BMP,20180316,75.0,76.8,75.0,75.0,605690
BMP,20180315,78.0,78.7,76.0,76.9,341440
BMP,20180314,76.0,79.2,73.6,78.9,852040
BMP,20180313,78.5,78.5,75.0,75.6,674170
BMP,20180312,78.5,83.9,78.2,78.5,1073940
BMP,20180309,86.0,86.0,81.0,82.7,790790
BMP,20180308,87.0,88.4,85.5,86.0,260030
BMP,20180307,86.6,87.9,84.1,86.8,402370
BMP,20180306,88.1,89.5,86.3,87.1,415790
BMP,20180305,91.0,92.0,88.1,88.1,480180
BMP,20180302,90.0,91.0,88.4,89.2,759550
BMP,20180301,93.8,94.0,91.0,91.0,618470
BMP,20180228,92.0,95.9,92.0,93.8,1065780
BMP,20180227,92.0,93.8,91.5,92.0,576270
BMP,20180226,94.5,95.0,91.3,91.8,643560
BMP,20180223,89.3,95.0,89.3,93.4,921660
BMP,20180222,90.8,92.0,89.0,89.3,290760
BMP,20180221,92.8,94.6,91.9,92.0,554580
BMP,20180213,90.9,90.9,89.2,90.9,1374880
BMP,20180212,82.0,85.0,82.0,85.0,413090
BMP,20180209,79.0,81.0,77.1,81.0,368430
BMP,20180208,82.9,82.9,81.0,82.2,243850
BMP,20180207,82.8,83.4,81.5,82.8,415910
BMP,20180206,80.0,81.0,74.7,80.0,990780
BMP,20180205,86.1,86.1,80.3,80.3,275130
BMP,20180202,85.5,86.1,85.1,86.1,300000
BMP,20180201,85.5,85.7,84.8,85.4,568610
BMP,20180131,86.0,86.4,85.0,85.0,431950
BMP,20180130,85.1,88.1,84.1,86.4,518000
BMP,20180129,87.0,87.5,85.0,85.1,507740
BMP,20180126,88.9,89.0,86.5,87.0,613910
BMP,20180125,89.9,92.0,88.0,88.9,955470
BMP,20180122,85.0,90.0,84.3,88.7,1378590
BMP,20180119,83.5,86.0,83.0,84.2,608670
BMP,20180118,82.8,83.7,82.5,83.5,315890
BMP,20180117,85.9,85.9,83.5,84.0,417140
BMP,20180116,83.0,86.0,83.0,85.2,883620
BMP,20180115,82.9,84.1,82.5,83.0,313240
BMP,20180112,82.8,83.8,82.4,82.8,505220
BMP,20180111,83.6,83.6,82.7,83.5,414380
BMP,20180110,83.9,85.5,83.0,83.6,570540
BMP,20180109,83.0,85.5,82.9,83.9,395140
BMP,20180108,82.0,85.0,81.0,84.0,320740
BMP,20180105,85.7,85.7,82.5,83.0,467740
BMP,20180104,85.9,86.4,84.5,85.7,441320
BMP,20180103,88.0,88.0,85.8,86.0,426510
