<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DIG,20180426,22.00,22.10,21.20,22.10,1292600
DIG,20180424,21.70,22.60,21.50,22.00,1213600
DIG,20180423,23.10,23.70,21.60,21.70,1355780
DIG,20180420,22.00,23.20,21.30,23.20,1666210
DIG,20180419,22.50,22.60,21.50,21.70,2119210
DIG,20180418,23.35,23.65,22.85,22.90,1234080
DIG,20180417,23.80,23.80,23.05,23.35,1067940
DIG,20180416,23.60,23.60,23.20,23.30,902830
DIG,20180413,23.95,24.45,23.30,23.95,1900780
DIG,20180412,23.50,24.00,23.10,23.90,2356000
DIG,20180411,24.55,24.55,22.80,23.10,4946920
DIG,20180410,25.90,25.90,24.45,24.50,4183430
DIG,20180409,25.60,26.05,25.35,25.80,1624290
DIG,20180406,25.70,26.20,24.90,25.60,2559610
DIG,20180405,26.20,26.25,25.45,25.50,3607400
DIG,20180404,26.95,26.95,26.00,26.10,1486900
DIG,20180403,26.50,27.05,26.45,26.70,1518040
DIG,20180402,25.90,26.45,25.85,26.45,2301400
DIG,20180330,26.05,26.10,25.60,25.70,1505920
DIG,20180329,25.50,26.35,25.50,26.00,3118560
DIG,20180328,27.00,27.20,25.50,25.50,5471840
DIG,20180327,27.40,27.80,27.05,27.05,1962070
DIG,20180326,27.10,27.40,27.00,27.15,1218420
DIG,20180323,27.20,27.75,26.90,27.10,4031930
DIG,20180322,28.35,28.90,28.05,28.10,2450030
DIG,20180321,28.00,28.45,28.00,28.45,4566830
DIG,20180320,28.00,28.20,27.65,27.90,3536050
DIG,20180319,27.50,28.90,27.50,28.10,3895260
DIG,20180316,27.50,27.80,26.95,27.50,2002230
DIG,20180315,27.60,28.00,26.90,27.20,3312930
DIG,20180314,28.20,28.70,27.60,27.60,3144210
DIG,20180313,27.60,28.20,27.50,28.00,2037890
DIG,20180312,27.60,28.20,26.80,27.60,2788070
DIG,20180309,27.00,27.40,26.85,26.90,2708890
DIG,20180308,27.05,27.75,26.85,26.85,3753250
DIG,20180307,27.40,28.20,26.60,27.30,4636250
DIG,20180306,26.30,27.50,26.10,27.50,5905980
DIG,20180305,27.00,27.60,26.20,26.20,4587870
DIG,20180302,25.00,26.95,24.70,26.90,6768590
DIG,20180301,23.50,25.45,23.40,25.20,7535680
DIG,20180228,23.75,23.90,23.65,23.80,1808170
DIG,20180227,24.20,24.30,23.50,23.85,3081900
DIG,20180226,24.00,24.70,23.95,24.10,4362740
DIG,20180223,23.65,23.85,23.30,23.85,1042550
DIG,20180222,23.60,24.00,23.40,23.45,1253320
DIG,20180221,23.75,24.45,23.60,23.80,1616910
DIG,20180213,23.00,23.90,22.60,23.75,2412670
DIG,20180212,22.10,22.60,21.90,22.60,1108190
DIG,20180209,20.95,21.75,20.90,21.55,3522000
DIG,20180208,22.00,22.90,21.90,22.40,1642970
DIG,20180207,21.90,22.35,21.50,22.30,2586270
