<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FCN,20180417,19.90,20.30,19.70,19.80,102890
FCN,20180416,20.00,20.00,19.70,19.90,120470
FCN,20180413,20.90,20.90,19.70,19.80,351710
FCN,20180412,20.15,20.35,19.80,20.15,156110
FCN,20180411,20.90,21.00,19.45,20.20,532420
FCN,20180410,21.10,21.30,20.70,20.90,356840
FCN,20180409,21.20,21.40,21.00,21.10,373700
FCN,20180406,20.75,21.75,20.75,21.05,583980
FCN,20180405,20.70,20.80,20.60,20.70,245960
FCN,20180404,20.65,20.80,20.50,20.60,267610
FCN,20180403,20.70,20.90,20.50,20.70,204180
FCN,20180402,21.40,21.70,20.90,20.90,302200
FCN,20180330,20.90,21.45,20.85,21.25,324810
FCN,20180329,20.60,20.85,20.60,20.60,179940
FCN,20180328,20.50,20.80,20.40,20.60,187290
FCN,20180327,20.75,20.90,20.45,20.45,115040
FCN,20180326,20.30,20.50,20.20,20.50,223340
FCN,20180323,20.50,20.60,20.10,20.30,641350
FCN,20180322,21.00,21.40,20.75,20.80,450600
FCN,20180321,20.95,21.30,20.85,21.00,436790
FCN,20180320,21.35,21.35,20.60,20.85,735450
FCN,20180319,21.20,21.90,21.15,21.40,264360
FCN,20180316,21.20,21.60,20.95,21.20,487080
FCN,20180315,22.20,22.20,21.40,21.40,407500
FCN,20180314,22.50,22.55,21.80,22.00,362100
FCN,20180313,22.00,22.50,21.80,22.30,433990
FCN,20180312,21.90,21.90,21.05,21.90,814130
FCN,20180309,21.45,21.50,21.05,21.30,500430
FCN,20180308,21.00,21.50,21.00,21.15,352920
FCN,20180307,21.55,21.55,20.80,21.00,413970
FCN,20180306,21.00,21.40,20.80,21.35,326760
FCN,20180305,20.80,21.70,20.80,20.85,767500
FCN,20180302,20.60,21.25,20.50,20.70,908890
FCN,20180301,20.40,20.60,20.30,20.60,488930
FCN,20180228,20.60,20.90,20.30,20.40,333170
FCN,20180227,20.65,20.80,20.25,20.50,281230
FCN,20180226,21.50,21.50,20.20,20.70,281450
FCN,20180223,21.20,21.20,20.80,21.20,696850
FCN,20180222,20.60,21.20,20.35,20.80,422470
FCN,20180221,21.05,21.20,20.70,20.70,460400
FCN,20180213,21.00,21.30,21.00,21.05,228720
FCN,20180212,20.50,21.00,20.50,20.70,254650
FCN,20180209,19.80,20.50,19.40,20.45,426800
FCN,20180208,21.00,21.50,20.50,20.55,181830
FCN,20180207,21.70,22.00,21.20,21.20,301430
FCN,20180206,21.00,21.00,20.10,21.00,1537100
FCN,20180205,22.80,22.90,21.60,21.60,439020
FCN,20180202,22.70,23.30,22.60,23.20,820780
FCN,20180201,23.10,23.50,22.80,23.00,1654320
FCN,20180131,23.40,23.90,22.90,23.70,988090
FCN,20180130,23.30,23.95,22.60,23.60,1359700
FCN,20180129,22.00,23.40,21.80,23.30,1982720
FCN,20180126,21.55,22.50,21.15,22.00,1152600
FCN,20180125,21.80,22.00,21.20,21.45,1190610
FCN,20180122,22.10,22.10,21.40,21.80,596600
FCN,20180119,21.25,22.20,20.80,22.20,827270
FCN,20180118,20.30,20.80,20.25,20.80,598660
FCN,20180117,21.00,21.10,20.35,20.35,770210
FCN,20180116,21.30,21.55,20.80,21.00,969990
FCN,20180115,21.85,21.85,21.30,21.60,639290
FCN,20180112,21.60,21.60,21.30,21.60,1736790
FCN,20180111,20.31,20.44,20.14,20.23,1765490
FCN,20180110,20.22,20.61,20.22,20.31,1171300
FCN,20180109,20.66,20.66,20.23,20.31,1701900
FCN,20180108,21.09,21.09,19.71,20.66,1521010
FCN,20180105,21.35,21.52,21.09,21.09,846580
FCN,20180104,21.22,21.69,21.22,21.35,682050
FCN,20180103,21.69,21.74,21.17,21.26,1097300
FCN,20180102,21.65,21.65,20.87,21.65,862510
FCN,20171229,21.09,21.35,20.92,21.00,505860
FCN,20171228,21.00,21.18,20.79,21.05,475370
FCN,20171227,21.35,21.39,21.09,21.09,452420
FCN,20171226,21.13,21.35,20.92,21.22,319820
FCN,20171225,20.91,21.26,20.91,20.96,444610
FCN,20171222,21.31,21.44,21.14,21.13,705840
FCN,20171221,21.87,22.13,21.44,21.44,802920
FCN,20171220,21.95,22.34,21.87,21.87,605370
FCN,20171219,22.43,22.56,21.87,21.91,1172590
FCN,20171218,21.78,22.34,21.78,22.17,1216650
FCN,20171215,21.70,21.96,21.61,21.65,493710
FCN,20171214,21.18,21.70,21.01,21.70,399280
FCN,20171213,21.52,21.70,21.18,21.18,379690
FCN,20171212,20.88,21.53,20.57,21.35,1009150
FCN,20171211,21.31,21.52,20.92,20.92,605700
