<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPG,20180426,56.00,56.80,53.10,53.50,4650560
HPG,20180424,55.50,56.90,55.00,56.00,3808590
HPG,20180423,58.90,58.90,55.50,55.60,2822400
HPG,20180420,57.00,58.80,56.20,58.80,3297740
HPG,20180419,58.60,59.10,57.00,57.00,5118490
HPG,20180418,59.90,60.20,59.00,59.00,2757790
HPG,20180417,60.40,60.40,59.00,59.70,3369400
HPG,20180416,60.50,61.00,60.10,60.10,2178130
HPG,20180413,62.00,62.10,60.90,61.20,3273780
HPG,20180412,60.20,61.90,59.90,61.70,4513010
HPG,20180411,61.00,62.00,60.40,60.50,7191440
HPG,20180410,60.80,61.10,60.10,60.80,4651830
HPG,20180409,60.60,61.20,60.00,60.80,4479210
HPG,20180406,58.70,60.40,58.50,60.40,4899110
HPG,20180405,59.30,59.40,58.60,58.80,2089950
HPG,20180404,59.00,59.30,58.50,59.00,2908600
HPG,20180403,59.00,59.50,57.50,58.50,6349810
HPG,20180402,60.50,60.60,59.00,59.00,6093790
HPG,20180330,61.20,61.30,60.10,60.40,2577560
HPG,20180329,60.00,61.20,59.80,60.80,3683450
HPG,20180328,59.40,60.20,58.80,59.90,2410560
HPG,20180327,58.60,59.90,58.60,59.40,5798310
HPG,20180326,60.70,61.30,58.50,58.90,11065710
HPG,20180323,60.50,62.00,60.50,61.40,5420930
HPG,20180322,63.00,64.30,62.50,62.80,6581870
HPG,20180321,61.60,63.40,61.60,63.00,4866590
HPG,20180320,62.80,62.90,61.50,61.50,3422270
HPG,20180319,61.00,63.90,61.00,63.10,5218860
HPG,20180316,60.20,60.90,59.60,60.20,9631780
HPG,20180315,61.50,61.50,60.40,60.60,4149230
HPG,20180314,61.90,62.30,61.70,61.80,2654570
HPG,20180313,61.90,62.00,61.20,61.50,2925900
HPG,20180312,62.00,62.40,61.40,62.00,2965770
HPG,20180309,62.00,62.40,61.20,61.50,4792550
HPG,20180308,60.90,62.60,60.10,61.80,4777230
HPG,20180307,61.50,63.90,60.50,61.10,6712590
HPG,20180306,62.00,64.10,59.20,63.90,8543250
HPG,20180305,66.20,66.30,61.70,61.70,18962710
HPG,20180302,65.10,66.70,64.70,66.30,7746200
HPG,20180301,65.90,67.80,65.00,66.70,6516250
HPG,20180228,63.50,66.00,62.90,66.00,11050630
HPG,20180227,64.90,64.90,63.40,64.10,7780430
HPG,20180226,62.90,64.60,62.20,64.40,8761510
HPG,20180223,59.00,62.00,58.80,61.60,10695740
HPG,20180222,59.50,59.60,58.70,58.90,4928900
HPG,20180221,61.50,61.80,59.70,60.00,8779720
HPG,20180213,59.00,61.10,59.00,60.60,5281840
HPG,20180212,58.30,59.70,57.90,58.80,6576890
HPG,20180209,56.80,59.40,56.80,58.30,9028840
HPG,20180208,59.50,60.80,58.80,59.70,4633450
HPG,20180207,60.50,61.50,59.10,59.50,5682060
HPG,20180206,58.00,59.40,53.10,58.00,14973300
HPG,20180205,57.00,60.40,57.00,57.00,7317220
HPG,20180202,61.00,61.40,59.70,61.10,3673050
