<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IMP,20180426,62.80,62.80,61.10,61.10,8760
IMP,20180424,62.30,63.00,62.00,62.00,20870
IMP,20180423,63.30,63.50,62.90,63.00,16810
IMP,20180420,63.00,63.00,62.60,63.00,1580
IMP,20180419,62.50,63.00,62.50,62.90,3870
IMP,20180418,62.50,63.00,62.50,62.50,6310
IMP,20180417,62.90,63.50,62.90,62.90,10610
IMP,20180416,63.50,63.50,62.90,62.90,3460
IMP,20180413,65.00,65.00,62.90,62.90,11880
IMP,20180412,64.00,64.00,62.10,62.90,29440
IMP,20180411,63.00,63.10,62.60,63.00,8520
IMP,20180410,63.50,63.50,62.60,62.60,29130
IMP,20180409,63.50,63.50,63.00,63.50,40620
IMP,20180406,63.00,63.40,62.90,63.00,2910
IMP,20180405,63.50,63.50,62.80,62.80,4550
IMP,20180404,63.50,63.50,63.30,63.30,1190
IMP,20180403,63.00,63.10,63.00,63.00,16900
IMP,20180402,63.00,63.80,62.70,63.00,14690
IMP,20180330,63.00,63.00,63.00,63.00,2210
IMP,20180329,63.50,63.50,63.00,63.00,8280
IMP,20180328,62.80,63.00,62.70,63.00,6050
IMP,20180327,63.00,63.60,63.00,63.50,27500
IMP,20180326,63.50,63.80,63.50,63.50,11630
IMP,20180323,62.50,63.90,62.50,63.80,2760
IMP,20180322,63.70,63.70,63.40,63.50,6790
IMP,20180321,64.30,64.30,63.40,63.40,21330
IMP,20180320,63.00,63.50,63.00,63.40,4400
IMP,20180319,64.00,64.00,63.00,63.00,11910
IMP,20180316,62.60,63.50,63.00,63.50,11000
IMP,20180315,63.00,63.50,62.50,62.60,7410
IMP,20180314,62.00,63.10,62.00,63.00,11460
IMP,20180313,63.00,63.00,63.00,63.00,12500
IMP,20180312,63.50,63.50,62.50,63.50,17410
IMP,20180309,63.50,63.50,63.40,63.40,17210
IMP,20180308,63.50,63.50,63.50,63.50,15130
IMP,20180307,63.70,63.70,63.20,63.50,29360
IMP,20180306,63.70,63.70,63.50,63.70,22920
IMP,20180305,64.30,64.30,63.50,63.50,20640
IMP,20180302,63.90,63.90,63.50,63.80,8920
IMP,20180301,63.40,64.00,63.00,63.90,9830
IMP,20180228,63.40,63.40,61.90,63.40,22290
IMP,20180227,62.00,63.50,61.00,63.50,37640
IMP,20180226,62.60,62.60,61.80,62.00,53980
IMP,20180223,63.70,63.70,62.60,62.60,9020
IMP,20180222,63.00,63.50,63.00,63.00,18430
IMP,20180221,62.50,63.00,62.50,63.00,22970
IMP,20180213,62.60,63.00,62.60,63.00,14050
IMP,20180212,63.00,63.00,62.00,62.60,11190
IMP,20180209,58.50,62.20,58.50,61.50,6570
IMP,20180208,61.50,62.80,61.50,61.90,13580
