<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ITC,20180426,18.00,18.00,16.75,16.75,87690
ITC,20180424,17.20,18.00,17.20,18.00,12410
ITC,20180423,17.20,18.10,17.20,17.70,180890
ITC,20180420,16.50,17.20,16.50,17.20,62260
ITC,20180419,15.20,16.50,15.20,16.10,46340
ITC,20180418,15.90,16.60,15.90,16.20,129170
ITC,20180417,16.50,16.50,16.10,16.10,80920
ITC,20180416,16.50,16.60,16.30,16.50,124770
ITC,20180413,17.50,17.50,16.50,16.50,54300
ITC,20180412,17.80,17.80,16.25,17.50,50010
ITC,20180411,17.50,17.80,16.70,16.70,89070
ITC,20180410,16.45,17.50,16.00,17.50,190930
ITC,20180409,16.40,16.40,16.00,16.40,37220
ITC,20180406,16.60,16.60,16.00,16.00,26390
ITC,20180405,16.50,17.00,16.50,17.00,28350
ITC,20180404,15.10,16.55,15.10,16.55,261140
ITC,20180403,14.80,16.00,14.80,15.50,32960
ITC,20180402,14.70,15.00,14.70,15.00,99090
ITC,20180330,14.65,15.10,14.65,15.00,31650
ITC,20180329,14.65,14.65,14.26,14.65,33940
ITC,20180328,14.65,14.65,14.55,14.65,230780
ITC,20180327,14.65,14.65,14.60,14.65,55100
ITC,20180326,14.65,14.65,14.65,14.65,60
ITC,20180323,13.96,14.65,13.96,14.65,1990
ITC,20180322,14.65,14.65,14.55,14.55,180
ITC,20180321,13.87,14.55,13.87,14.55,135240
ITC,20180320,14.45,14.45,14.16,14.16,18930
ITC,20180319,14.45,14.45,14.45,14.45,10
ITC,20180316,14.16,14.16,14.16,14.16,6180
ITC,20180315,13.87,14.36,13.87,14.16,50000
ITC,20180314,14.26,14.26,13.67,14.16,57460
ITC,20180313,14.17,14.65,13.97,14.26,26020
ITC,20180312,13.97,14.17,13.97,13.97,14560
ITC,20180309,13.68,13.97,13.68,13.97,16820
ITC,20180308,13.96,13.96,13.96,13.97,700
ITC,20180307,13.87,14.17,13.87,14.16,660
ITC,20180306,13.96,13.96,13.96,13.97,10
ITC,20180302,14.45,14.55,14.16,14.16,30500
ITC,20180301,14.16,14.26,14.16,14.16,56270
