<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KSA,20180416,0.63,0.67,0.63,0.65,286900
KSA,20180413,0.66,0.68,0.66,0.67,450360
KSA,20180412,0.68,0.69,0.66,0.66,686320
KSA,20180411,0.67,0.68,0.66,0.67,813540
KSA,20180410,0.71,0.71,0.67,0.67,1451260
KSA,20180409,0.73,0.73,0.70,0.71,565380
KSA,20180406,0.72,0.73,0.69,0.73,1012210
KSA,20180405,0.70,0.74,0.69,0.72,922880
KSA,20180404,0.77,0.78,0.72,0.73,916520
KSA,20180403,0.76,0.78,0.74,0.77,404480
KSA,20180402,0.74,0.80,0.74,0.75,277580
KSA,20180330,0.74,0.79,0.74,0.79,652190
KSA,20180329,0.78,0.78,0.73,0.74,1575250
KSA,20180328,0.79,0.80,0.77,0.78,299130
KSA,20180327,0.79,0.80,0.78,0.79,365630
KSA,20180326,0.78,0.80,0.78,0.79,424110
KSA,20180323,0.81,0.81,0.77,0.78,1015400
KSA,20180322,0.82,0.82,0.79,0.81,252700
KSA,20180321,0.82,0.83,0.79,0.82,545350
KSA,20180320,0.79,0.83,0.79,0.82,502720
KSA,20180319,0.82,0.83,0.79,0.79,896830
KSA,20180316,0.82,0.82,0.80,0.82,523900
KSA,20180315,0.84,0.86,0.81,0.81,452010
KSA,20180314,0.83,0.85,0.82,0.84,453850
KSA,20180313,0.83,0.83,0.81,0.83,328910
KSA,20180312,0.83,0.86,0.81,0.83,1412420
KSA,20180309,0.85,0.86,0.83,0.85,601320
KSA,20180308,0.87,0.89,0.85,0.85,250610
KSA,20180307,0.88,0.90,0.86,0.89,1178670
KSA,20180306,0.88,0.90,0.86,0.88,513280
KSA,20180305,0.87,0.90,0.86,0.88,247080
KSA,20180302,0.86,0.91,0.86,0.86,657560
KSA,20180301,0.90,0.91,0.86,0.86,307730
KSA,20180228,0.91,0.95,0.88,0.90,1186350
KSA,20180227,0.96,1.00,0.92,0.94,1206080
KSA,20180226,0.94,0.94,0.90,0.94,1133740
