<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PIT,20180417,5.80,5.80,5.80,5.80,140
PIT,20180416,6.10,6.10,5.60,5.60,760
PIT,20180413,5.99,5.99,5.99,5.99,710
PIT,20180412,5.60,5.60,5.60,5.60,590
PIT,20180411,6.00,6.00,5.60,5.60,810
PIT,20180410,6.00,6.00,6.00,6.00,40
PIT,20180409,6.00,6.00,6.00,6.00,1780
PIT,20180406,6.00,6.00,6.00,6.00,15000
PIT,20180405,6.00,6.00,6.00,6.00,9720
PIT,20180404,6.00,6.00,6.00,6.00,5060
PIT,20180403,6.00,6.00,6.00,6.00,50
PIT,20180402,5.58,5.98,5.58,5.98,1020
PIT,20180330,5.70,5.70,5.60,5.60,1130
PIT,20180329,5.97,5.97,5.96,5.96,24940
PIT,20180328,5.97,5.97,5.90,5.96,450
PIT,20180327,5.94,6.00,5.80,5.98,3120
PIT,20180326,5.60,5.94,5.60,5.94,70
PIT,20180323,5.80,6.00,5.80,6.00,30
PIT,20180322,6.00,6.00,5.90,5.90,20
PIT,20180321,6.30,6.30,5.70,5.90,1260
PIT,20180320,5.86,6.00,5.86,6.00,4020
PIT,20180319,6.15,6.50,6.10,6.30,2370
PIT,20180316,6.15,6.15,6.15,6.15,170
PIT,20180315,6.10,6.10,6.10,6.10,360
PIT,20180314,6.50,6.50,6.50,6.50,140
PIT,20180313,6.70,6.70,6.70,6.70,10
PIT,20180312,6.51,6.70,6.10,6.51,7490
PIT,20180309,6.51,6.51,6.51,6.51,140
PIT,20180307,7.27,7.27,6.41,7.00,3220
PIT,20180306,6.32,6.80,6.32,6.80,220
PIT,20180305,7.50,7.50,6.79,6.79,3150
PIT,20180302,7.35,7.35,7.30,7.30,110
PIT,20180301,6.80,7.58,6.80,7.58,310
PIT,20180228,7.10,7.10,7.10,7.10,70
PIT,20180227,6.65,6.65,6.65,6.65,110
PIT,20180226,7.13,7.13,7.13,7.13,2060
PIT,20180223,6.67,6.67,6.50,6.67,1200
PIT,20180222,6.24,6.25,6.24,6.24,5230
PIT,20180213,7.00,7.00,6.70,6.70,1010
PIT,20180208,6.84,6.84,6.84,6.84,10
PIT,20180202,6.50,6.84,6.50,6.84,20
PIT,20180201,6.41,6.41,5.62,6.40,540
PIT,20180131,5.59,6.00,5.59,6.00,14150
