<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VIP,20180508,7.31,7.31,7.17,7.17,70440
VIP,20180507,7.28,7.31,7.14,7.31,157260
VIP,20180504,7.20,7.28,7.16,7.28,176770
VIP,20180503,7.20,7.20,7.10,7.20,55100
VIP,20180502,7.20,7.28,7.04,7.20,73640
VIP,20180427,7.11,7.20,7.03,7.06,25190
VIP,20180426,7.19,7.19,7.02,7.15,37910
VIP,20180424,7.02,7.19,7.02,7.19,13680
VIP,20180423,7.10,7.30,7.10,7.10,63410
VIP,20180420,7.00,7.30,7.00,7.27,2480
VIP,20180419,7.30,7.30,7.01,7.10,24790
VIP,20180418,7.22,7.22,7.00,7.15,111570
VIP,20180417,7.30,7.35,7.15,7.35,49150
VIP,20180416,7.30,7.49,7.22,7.35,18670
VIP,20180413,7.50,7.50,7.20,7.30,86390
VIP,20180412,7.36,7.44,7.20,7.40,7610
VIP,20180411,7.49,7.52,7.36,7.44,42090
VIP,20180410,7.47,7.60,7.40,7.50,54960
VIP,20180409,7.59,7.65,7.50,7.54,83760
VIP,20180406,7.45,7.78,7.45,7.60,64500
VIP,20180405,7.74,7.85,7.50,7.80,553250
VIP,20180404,7.00,7.40,7.00,7.40,350780
VIP,20180403,7.00,7.00,6.92,6.92,9740
VIP,20180402,7.05,7.05,7.00,7.00,20980
VIP,20180330,7.02,7.10,7.01,7.10,5350
VIP,20180329,7.10,7.12,7.02,7.12,50230
VIP,20180328,7.10,7.13,7.09,7.10,11220
VIP,20180327,7.10,7.15,7.10,7.13,27430
VIP,20180326,7.00,7.14,7.00,7.13,36700
VIP,20180323,7.00,7.15,7.00,7.10,13710
VIP,20180322,7.10,7.15,7.06,7.07,25230
VIP,20180321,7.10,7.12,7.05,7.08,38270
VIP,20180320,7.11,7.20,7.10,7.10,69640
VIP,20180319,7.24,7.29,7.19,7.24,8760
VIP,20180316,7.20,7.30,7.20,7.20,28870
VIP,20180315,7.15,7.40,7.14,7.40,16740
VIP,20180314,7.30,7.30,7.04,7.14,76350
VIP,20180313,7.37,7.37,7.05,7.05,65690
VIP,20180312,7.21,7.35,7.21,7.21,31240
VIP,20180309,7.31,7.32,7.25,7.32,29530
VIP,20180308,7.40,7.40,7.30,7.32,42430
VIP,20180307,7.40,7.41,7.31,7.34,56000
VIP,20180306,7.41,7.50,7.26,7.37,90940
VIP,20180305,7.43,7.43,7.37,7.41,49900
VIP,20180302,7.40,7.45,7.32,7.43,80020
VIP,20180301,7.41,7.46,7.36,7.43,98130
VIP,20180228,7.44,7.49,7.43,7.48,76250
VIP,20180227,7.40,7.50,7.36,7.44,96490
VIP,20180226,7.70,7.70,7.40,7.40,160650
VIP,20180223,7.70,7.70,7.50,7.58,136010
VIP,20180222,7.40,7.54,7.40,7.40,215940
VIP,20180221,7.41,7.76,7.41,7.54,236990
VIP,20180213,7.31,7.45,7.26,7.40,344330
VIP,20180212,7.31,7.31,7.22,7.22,221940
VIP,20180209,7.05,7.13,6.96,7.11,69650
VIP,20180208,7.14,7.14,7.13,7.13,28920
VIP,20180207,7.01,7.22,6.95,7.14,27280
VIP,20180206,6.94,6.94,6.76,6.95,120930
VIP,20180205,7.17,7.19,6.81,7.17,15350
VIP,20180202,7.22,7.22,7.16,7.22,78830
VIP,20180201,7.21,7.22,7.15,7.21,63970
VIP,20180131,7.26,7.26,7.15,7.21,104450
VIP,20180130,7.21,7.22,7.13,7.20,128590
VIP,20180129,6.96,7.23,6.96,7.21,223320
VIP,20180126,7.06,7.17,6.90,7.12,112820
VIP,20180125,7.31,7.31,6.96,7.19,204220
VIP,20180122,7.22,7.22,7.05,7.17,88730
VIP,20180119,7.13,7.16,7.13,7.13,37680
VIP,20180118,7.11,7.16,7.06,7.16,105450
VIP,20180117,7.13,7.20,7.13,7.15,63830
VIP,20180116,7.15,7.19,7.12,7.17,121640
VIP,20180115,7.19,7.22,7.15,7.17,54770
VIP,20180112,7.19,7.22,7.08,7.19,78690
VIP,20180111,7.31,7.31,7.14,7.21,86200
VIP,20180110,7.09,7.31,7.09,7.21,262980
VIP,20180109,7.08,7.22,7.03,7.05,156540
VIP,20180108,7.07,7.13,7.03,7.08,108150
VIP,20180105,7.24,7.24,7.09,7.08,86230
VIP,20180104,7.13,7.27,7.13,7.26,133350
VIP,20180103,7.22,7.30,7.05,7.26,199740
VIP,20180102,7.23,7.49,7.21,7.24,212680
VIP,20171229,7.61,7.62,7.35,7.35,126310
